n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,False,decay=0.9999,20015,0.76,16.326886634979783
10,100,False,decay=0.9999,20016,0.88,10.941814205511637
10,100,False,decay=0.9999,20017,0.77,19.871491223497717
10,100,False,decay=0.9999,20018,0.71,17.492108823594698
10,100,False,decay=0.9999,20019,0.73,11.204112244656425
10,100,False,decay=0.9999,20020,0.86,4.45833720292768
10,100,False,decay=0.9999,20021,0.82,9.36080566023979
10,100,False,decay=0.9999,20022,0.74,6.13042214766287
10,100,False,decay=0.9999,20023,0.84,7.032060030602195
10,100,False,decay=0.9999,20024,0.87,6.179040196542538
10,100,False,decay=0.9999,20025,0.69,6.762655642480199
10,100,False,decay=0.9999,20026,0.79,13.675144687555772
10,100,False,decay=0.9999,20027,0.43,5.6718816019898135
10,100,False,decay=0.9999,20028,0.71,28.96227148408375
10,100,False,decay=0.9999,20029,0.92,6.935345199970619
10,100,False,decay=0.99999,20000,0.8,9.591733185676375
10,100,False,decay=0.99999,20001,0.76,25.88867133646554
10,100,False,decay=0.99999,20002,0.8,15.099055553641696
10,100,False,decay=0.99999,20003,0.61,21.87851301509709
10,100,False,decay=0.99999,20004,0.64,17.02264069648738
10,100,False,decay=0.99999,20005,0.89,11.410000989913176
10,100,False,decay=0.99999,20006,0.79,7.17440677293561
10,100,False,decay=0.99999,20007,0.92,4.253374949327226
10,100,False,decay=0.99999,20008,0.89,7.151763013826848
10,100,False,decay=0.99999,20009,0.85,5.523004530334926
10,100,False,decay=0.99999,20010,0.87,8.977482372617352
10,100,False,decay=0.99999,20011,0.51,36.22787029505378
10,100,False,decay=0.99999,20012,0.47,45.22460519048751
10,100,False,decay=0.99999,20013,0.41,32.83445975212158
10,100,False,decay=0.99999,20014,0.86,11.166654442985624
10,100,False,decay=0.99999,20015,0.76,16.326886634979783
10,100,False,decay=0.99999,20016,0.88,10.941814205511637
10,100,False,decay=0.99999,20017,0.77,19.871491223497717
10,100,False,decay=0.99999,20018,0.71,17.492108823594698
10,100,False,decay=0.99999,20019,0.73,11.204112244656425
10,100,False,decay=0.99999,20020,0.86,4.45833720292768
10,100,False,decay=0.99999,20021,0.82,9.36080566023979
10,100,False,decay=0.99999,20022,0.74,6.13042214766287
10,100,False,decay=0.99999,20023,0.84,7.032060030602195
10,100,False,decay=0.99999,20024,0.86,7.2058251947017595
10,100,False,decay=0.99999,20025,0.69,6.762655642480199
10,100,False,decay=0.99999,20026,0.79,13.675144687555772
10,100,False,decay=0.99999,20027,0.43,5.6718816019898135
10,100,False,decay=0.99999,20028,0.71,28.96227148408375
10,100,False,decay=0.99999,20029,0.92,6.935345199970619
10,1000,True,constant,20000,0.8,98.01814412317299
10,1000,True,constant,20001,0.91,47.35102221846447
