n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
100,100,epsgreedy optimistic decay=0.90,20021,0.5,49.83078595293251
100,100,epsgreedy optimistic decay=0.90,20022,0.6,46.99857240047055
100,100,epsgreedy optimistic decay=0.90,20023,0.51,44.397916610220086
100,100,epsgreedy optimistic decay=0.90,20024,0.56,43.72051411053407
100,100,epsgreedy optimistic decay=0.90,20025,0.63,43.59293556975438
100,100,epsgreedy optimistic decay=0.90,20026,0.49,48.051848763307845
100,100,epsgreedy optimistic decay=0.90,20027,0.53,46.21344162834791
100,100,epsgreedy optimistic decay=0.90,20028,0.56,45.361913943068224
100,100,epsgreedy optimistic decay=0.90,20029,0.53,40.39129091980011
100,100,"thompson Beta(5,5)",20000,0.58,36.784308173303984
100,100,"thompson Beta(5,5)",20001,0.69,37.05515752052081
100,100,"thompson Beta(5,5)",20002,0.63,41.43429344853418
100,100,"thompson Beta(5,5)",20003,0.49,51.14510106159119
100,100,"thompson Beta(5,5)",20004,0.52,49.116799470506095
100,100,"thompson Beta(5,5)",20005,0.54,42.66307683077378
100,100,"thompson Beta(5,5)",20006,0.55,43.96599226683212
100,100,"thompson Beta(5,5)",20007,0.59,41.282594866091735
100,100,"thompson Beta(5,5)",20008,0.62,42.206526892352834
100,100,"thompson Beta(5,5)",20009,0.57,39.87136385006279
100,100,"thompson Beta(5,5)",20010,0.64,35.486263268465606
